Model,Variable,Alias,Experiment,Realization,Moving Year,File,DoIt?
IPSL-CM5A-LR,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/IPSL-CM5A-LR/RCP4.5/R1,0
IPSL-CM5A-LR,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/IPSL-CM5A-LR/RCP4.5/R1,0
IPSL-CM5A-LR,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/IPSL-CM5A-LR/RCP8.5/R1,0
IPSL-CM5A-LR,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/IPSL-CM5A-LR/RCP8.5/R1,0
IPSL-CM5A-MR,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/IPSL-CM5A-MR/HISTORICAL/R1,0
IPSL-CM5A-MR,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/IPSL-CM5A-MR/HISTORICAL/R1,0
IPSL-CM5A-MR,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/IPSL-CM5A-MR/RCP4.5/R1,0
IPSL-CM5A-MR,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/IPSL-CM5A-MR/RCP4.5/R1,0
IPSL-CM5A-MR,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/IPSL-CM5A-MR/RCP8.5/R1,0
IPSL-CM5A-MR,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/IPSL-CM5A-MR/RCP8.5/R1,0
MIROC5,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC5/HISTORICAL/R1,0
MIROC5,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC5/HISTORICAL/R1,0
MIROC5,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/MIROC5/RCP4.5/R1,0
MIROC5,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/MIROC5/RCP4.5/R1,0
